,Package_Type,Duration_Days,Duration_Nights,Starting_Location,Destination_Cities,Destination_Cities_Count,Included_Activities,Hotel_Ratings,Original_Price_INR,Deal_Price_INR,Discount_Percentage
169,Lovely Coorg Honeymoon,2,1,Coorg,Coorg ,1,Talakaveri Nature Bhagamandala Hill station Dubare  Reserve  ,3,11395,10369,9
170,Best Selling   Alleppey Honeymoon,2,1,Alleppey,Alleppey ,1,Houseboat Water  Activities Honeymoon Cruises Romantic getaway ,3,5274,4799,9
171,Special Udaipur Honeymoon,4,3,Udaipur,Udaipur ,1,Architectural wonders Adventure Handicrafts Nature Hill station Romantic ,3,11111,10000,10
172,Book Our Himachal Honeymoon,4,3,Shimla,"Shimla ,Manali ",2,Adventure Rafting Nature Paragliding Hill station Private  ,2,17009,13800,19
173,haramshala Mcleodganj alhousie Tour Package,5,4,Mcleodganj,"Mcleodganj ,Dalhousie ",2,Museum Adventure Temple Nature Natural  Beauty ,3,14130,13000,8
174,Explore The Beautiful Karnataka,6,5,Ootacamund," Ootacamund ,Coorg ,Mysore ",3,Tea  Factory Adventure Sightseeing Hill station Doddabetta  ,3,23044,20740,10
175,Refreshing Uttarakhand Family Package,8,7,Haridwar,"Haridwar ,Mussoorie ,Ranikhet ,Kausani ,Nainital ",5,Himalayas Nature Hill station Temples Family Lakes ,3,30244,27824,8
176,Heavenly Kashmir Honeymoon,6,5,Srinagar,"Srinagar ,Gulmarg ,Pahalgam ",3,Houseboat  Stay Nature Gondola  Ride Hill station ,2,20000,18000,10
177,azzling Goa Tour Package,4,3,Candolim,Candolim ,1,Basilica of  Bom  Jesus Cruises Calangute  Beach ,3,11235,9999,11
178,Action-Packed Mussoorie Family Package,5,4,Mussoorie,"Mussoorie ,Rishikesh ,Haridwar ",3,Historical  Sightseeing Nature Moti  Bazar Hill station ,3,23077,21000,9
179,"Idyllic Sikkim, Gangtok & arjeeling Family Package",6,5,Darjeeling,"Darjeeling ,Gangtok ,Lachung ",3,Adventure Historical Hill  Station Road  Trip ,3,60211,54477,10
180,A Family Vacation In Beautiful Goa,3,2,Goa,Goa ,1,Sightseeing Adventure Cruise Nature Basilica of  Bom  ,3,9340,8499,9
181,Summer Honeymoon,6,5,Goa,Goa ,1,Leisure Nature Dudhsagar  Waterfalls Water  Activities ,3,46428,37500,19
182,An Intimate Rendezvous in Athirapally,8,7,Vaikom,"Vaikom ,Alleppey ,Thekkady ,Athirapally ,Cherai ",5,Sightseeing Hill station Kumarakom backwaters Wildlife Boating Nature ,3,30667,27600,10
183,elightful Athirapally Tour Package,2,1,Athirapally,Athirapally ,1,Nature Religious Hiking Budget,3,5274,4799,9
184,Most Exciting Auli   Package,3,2,Auli,Auli ,1,Adventure Cable  Car Hill station Scenic view Sightseeing ,3,12097,11250,7
185,iscover The Gems Of Leh Tour Package,5,4,Leh,"Leh ,Nubra Valley ,Pangong ",3,Mountain  Range Adventure Monasteries Nature Local  ,3,25274,22999,9
186,Best-Selling Auli Honeymoon,4,3,Auli,Auli ,1,Water  Activities Adventure Snow-capped mountains Nature Hill station ,3,14444,13000,10
187,Simply Kashmir Tour Package,4,3,Srinagar,"Srinagar ,Gulmarg ",2,Shikara  Ride Best sellers Gondola  Ride Nature ,2,16258,14000,14
188,Best Chikmagalur Sightseeing Tour Package,3,2,Chikmagalur,Chikmagalur ,1,Wildlife safari Adventure River  Rafting Nature Paraglidingtemples ,3,12535,11407,9
189,Jubilant Jaipur Sightseeing Tour Package,3,2,Jaipur,Jaipur ,1,Adventure Nature Historical Cultural Sightseeing Budget,2,6593,6000,9
190,Spectacular Pachmarhi Tours,3,2,Pachmarhi,Pachmarhi ,1,Sightseeing Nature City  Tour Historical Adventure ,3,12307,11199,9
191,Explore The Wilders Aspects Of Himachal,3,2,Dalhousie,Dalhousie ,1,Romantic  Stay Adventure Scenic  Landscapes Nature ,2,14667,12000,18
192,Fascinating Auli Honeymoon,8,7,Dehradun,"Dehradun ,Auli ,Mussoorie ,Dhanaulti ",4,Himalayas Nature Hill station Waterfalls Religious Temples ,3,33833,30450,10
193,Offbeat Leh Ladakh Tour Package,6,5,Leh,"Leh ,Nubra Valley ,Turtuk Village ",3,Offbeat Nature Turtuk Adventure Indo- Pak  ,3,26803,25999,3
194,Magical Kashmir Honeymoon,7,6,Srinagar,"Srinagar ,Pahalgam ,Gulmarg ",3,Shikara  Ride Hill station Romantic Nature Betaab  ,2,23812,22000,8
195,Exciting Rishikesh Tour Package,3,2,Rishikesh,"Rishikesh ,Mussoorie ",2,Sightseeing Adventure Nature Gun  Hill Hill station ,3,16587,15094,9
196,Book This Popular Coorg Tour Package,7,6,Coorg,"Coorg ,Ooty ,Kodaikanal ",3,Tea  Estate Nature Hills Hill station Adventure ,3,26142,23789,9
197,Best     Himachal Family Tour Package,10,9,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ,Amritsar ",5,Road  Trip Adventure Scenic  Routes Nature ,2,38989,36500,6
198,Best Budgeted Munnar Alleppey Tour Package,3,2,Munnar,"Munnar ,Alleppey ",2,Nature Cruises Adventure Sightseeing Canal  Cruise ,3,9438,8400,11
199,Top Auli Holiday Package,3,2,Auli,Auli ,1,Devprayag Adventure Maa  Dhari  Devi  Temple ,3,13889,12500,10
200,Alluring Assam Tour Package,2,1,Guwahati,Guwahati ,1,Ideal for friends Nature Culturaltemples Wildlife Sightseeing Budget,3,9890,9000,9
201,Scenic Kerala Family Trip,9,8,Kochi,"Kochi ,Munnar ,Thekkady ,Alleppey ,Kumarakom ,Kovalam ,Kanyakumari ,Trivandrum ",8,Hills Wildlife Tea  Garden Adventure Jungle  ,3,38212,33228,13
202,Economical Wayanad Tour Package,3,2,Calicut,"Calicut ,Wayanad ",2,Beaches Hill station Temple Religious Museum Waterfall ,3,9031,8399,7
203,Best-Selling Rishikesh And Haridwar Tour Package,3,2,Rishikesh,"Rishikesh ,Haridwar ",2,Ganga  Aarti Adventure Har ki  Pauri Nature ,3,8653,7874,9
204,elightful Udaipur Sightseeing Tour Package,5,4,Udaipur,Udaipur ,1,Lake  Pichola Adventure Jagdish  Temple Nature ,3,15384,13999,9
205,Charming Kashmir Honeymoon,8,7,Srinagar,"Srinagar ,Pahalgam ,Gulmarg ",3,Hill station Betaab  Valley Nature Strawberry  Field ,2,24566,22000,10
206,Best of Jammu Kashmir Summer Special Tour Package,8,7,Katra,"Katra ,Pahalgam ,Srinagar ,Gulmarg ",4,Vaishno  Devi Nature Patnitop Hill station Shikara  ,3,32520,30000,8
207,Best-Selling Goa Tour Package,4,3,Goa,Goa ,1,Temples Adventure Churches Nature Shopping Water  ,4,12637,11500,9
208,Manali-Kasol Tour Package,4,3,Manali,"Manali ,Kasol ",2,Adventure Offbeat Nature Ideal for friends Sightseeing Budget,2,12688,10500,17
209,Exciting Jaipur Udaipur Family Tour Package,5,4,Jaipur,"Jaipur ,Udaipur ",2,Ideal for families Adventure Sightseeing Religious Nature Historical ,3,15384,13999,9
210,Pocket-Friendly  ight   Package,3,2,Mumbai,Mumbai ,1,National  Monument Adventure Museums Historical Marine  ,4,18924,17599,7
211,Amazing Udaipur Honeymoon,4,3,Udaipur,"Udaipur ,Mount Abu ",2,City  Tour Nature Lake  Pichola Water  ,3,13186,11999,9
212,Wondrous Pelling Tour Package,3,2,Pelling,Pelling ,1,Sightseeing Nature Hill station Hills Lakeslandscape Budget,3,23063,20757,10
213,Check Out arjeeling Holiday Tour Package,3,2,Darjeeling,Darjeeling ,1,Scenic landscape Wildlife Grand  Himalayas Hill station Kanchenjunga  ,2,25619,22545,12
214,Fun-Packed Goa Weekend Holiday: South Goa & Beaches,3,2,Goa,Goa ,1,Shopping Cruises Beach hopping Historical Weekend  Special ,3,17255,14999,13
215,Affordable Mumbai   Tour Package,2,1,Mumbai,Mumbai ,1,Marine  Drive Nature Beach Adventure Museum ,4,10879,9900,9
216,Goa Package,6,5,Calangute,Calangute ,1,Hot  Pick Adventure Honeymoon freebies Nature Nightlife ,2,32857,28750,12
217,Enchanting arjeeling Tour Package,4,3,Darjeeling,Darjeeling ,1,Adventure Tea gardens Mt.  Kanchendzonga Nature Ghoom  ,2,16630,14967,10
218,Most-Picked Karnataka Tour Package,3,2,Coorg,Coorg ,1,Talakaveri Adventure Talacauvery  Nature Abbey  Falls ,3,15417,14029,9
219,Phenomenal elhi Tour Package,3,2,New Delhi,New Delhi ,1,Sightseeing Qutub  Minar Historical Templesshopping Budget,3,4395,3999,9
220,Wholesome Rameshwaram Tour Package,5,4,Madurai,"Madurai ,Rameshwaram ,Kanyakumari ",3,Temple visit Road  Trip Nature Rameshwaram  Temple ,4,18098,16469,9
221,Spectacular Shillong Tour For A Refreshing Getaway With Loved Ones,3,2,Shillong,Shillong ,1,Waterfalls Water  Activities Temple Adventure Nature ,3,12637,11500,9
222,Stunning Auli Tour Package,4,3,Auli,Auli ,1,Devprayag Nature Auli lake Hill station Adventure Sightseeing ,3,14285,12999,9
223,Explore The Most Awesome estinations Of Rajasthan,11,10,Jaipur,"Jaipur ,Mandawa ,Bikaner ,Jaisalmer ,Jodhpur ,Udaipur ,Pushkar ",7,Amer  Fort Best sellers Hawa  Mahal Historical ,2,42684,37999,11
224,Goa Adventure Package,5,4,Calangute,"Calangute ,Goa ",2,Offbeat Trekking Jeep  Safari Water  Activities ,3,28922,22999,20
225,Best Selling Shirdi Tour for a Spiritual Getaway,2,1,Shirdi,Shirdi ,1,Temple Religious Sightseeing Nature City  Tour ,3,6285,5719,9
226,Fun & Frolic Kodaikanal Ooty Tour Package,6,5,Ootacamund," Ootacamund ,Kodaikanal ,Kodai ",3,Wildlife Lakes Hills Lakes &  Waterfalls Wildlife safari ,3,23461,21350,9
227,Exciting Jim Corbett ational Park Tour Package,2,1,Jim Corbett,Jim Corbett ,1,Sightseeing Wildlife Adventure Nature Jungle  Safari,4,5538,5040,9
228,iligently Crafted Udaipur Package,4,3,Udaipur,"Udaipur ,Mount Abu ",2,City  Palace Cruises Religious Lake  Palace ,2,7714,6000,22
229,warka Tour Package,4,3,Jamnagar,"Jamnagar ,Dwarka ,Veraval ,Somnath ",4,Dwarka  Temples Somnath sightseeing Junagadh Virpur Historical ,3,13333,12000,10
230,Book Our Alleppey Houseboat Tour Package,2,1,Alleppey,Alleppey ,1,Houseboat  Stay Nature Cruise Romantic Backwaters ,3,8118,7387,9
231,Top Ooty Tour Package,3,2,Ooty,Ooty ,1,Sightseeing Nature Doddabetta  Peak Family Tea  ,3,12597,11589,8
232,esert elight Rajasthan Tour Package,4,3,Jaisalmer,"Jaisalmer ,Bikaner ",2,Camel  Safari Religious Sonar  Quila Nature ,3,8791,8000,9
233,Enigmatic Leh Ladakh Tour Package,10,9,Manali,"Manali ,sarchu ,Leh ,Pangong ,Nubra Valley ,Kargil ,Srinagar ",7,Pangong  Tso Adventure Nubra  Valley Best sellers ,3,67988,63455,7
234,  haramshala Tour Package,4,3,Dharamshala,Dharamshala ,1,Sightseeing Nature Naddi  Village  Excursion Hill station ,2,16667,15000,10
235,Madurai And Rameshwaram Await Your Exploration,6,5,Madurai,"Madurai ,Rameshwaram ,Kanyakumari ,Kovalam ",4,Temple Historical Palaces Religious Vivekananda  Rock  ,3,29455,25920,12
236,Plan A Replenishing   Alleppey Kerala Tour For A Paradiscal Holiday,3,2,Alleppey,Alleppey ,1,Houseboat Backwaters Leisure Unlimited  Fun Cruises ,3,11198,10078,10
237,Rajasthan   Tour Package,6,5,Jodhpur,"Jodhpur ,Jaisalmer ,Bikaner ,Jaipur ",4,Mehrangarh  Fort Historical Patwon-ki-haveli Sightseeing Karni  ,3,52838,41999,21
238,Best of Goa: Exciting Family Vacation Package,6,5,Calangute,Calangute ,1,Adventure Water  Activities Nature Budget,2,39360,32800,17
239,Best Selling Auli Tour Package,8,7,Dehradun,"Dehradun ,Auli ,Mussoorie ,Dhanaulti ",4,Ideal for friends Adventure Ideal for families Hill station Nature Sightseeing ,3,33833,30450,10
240,"Adventurous Sikkim, Kalimpong & arjeeling Tour Package",8,7,Gangtok,"Gangtok ,Lachen ,Lachung ,Kalimpong ,Darjeeling ",5,Road  Trip Nature Himalayas Hill station Adventure ,3,69818,65587,6
241,Exciting elhi Family Tour Package,3,2,New Delhi,New Delhi ,1,Sightseeing Nature Temples Historical Adventure Water  ,2,4395,3999,9
242,Tempting orth East Tour Package,4,3,Shillong,"Shillong ,Cherrapunjee ",2,Scenic beauty Adventure Living  Root  Bridge Nature ,2,16847,15499,8
243,Riveting Goa Honeymoon,4,3,Candolim,Candolim ,1,Beach  Vacation Nature Shopping Historical Adventure ,4,33323,29324,12
244,Adventurous & Cherishable Mount Abu Tour Package,2,1,Mount Abu,Mount Abu ,1,Hill station Sightseeing Nature Budget,3,5434,4999,8
245,Best Selling Jim Corbett Package,3,2,Jim Corbett,Jim Corbett ,1,Safari Nature Sightseeing Hill station Wildlife Waterfall ,2,14675,12900,12
246,Gangtok Tour Package,4,3,Gangtok,Gangtok ,1,Temple Adventure Waterfalls Hill station Lake Cultural ,4,43582,40095,8
247,Mesmerizing Meghalaya Tour,4,3,Shillong,"Shillong ,Cherrapunjee ",2,Historical Nature Markets Local  Villages Lakes ,3,17032,15499,9
248,Exemplary Jaipur Package,3,2,Jaipur,Jaipur ,1,Amer  Fort Religious Chokhi  Dhani Historical ,2,9333,6000,36
249,Spend Some Spiritual Time at warkadhish ,3,2,Dwarka,Dwarka ,1,Dwarkadhish  Temple Nature Ideal for families Historical Shopping ,3,10786,9600,11
250,Book The Best Rishikesh Package,3,2,Rishikesh,"Rishikesh ,Haridwar ",2,Himalayas Temples Nature Hill station Religious Budget,3,10439,9499,9
251,Goa Tour Package,4,3,Goa,Goa ,1,Best- Selling Historical Beach hopping Adventure Shopping ,3,19956,17500,12
252,Best-Selling orth East Tours For An Escape To ature,5,4,Kaziranga,"Kaziranga ,Shillong ,Guwahati ",3,Kaziranga  National  Park Religious  Elephant  Safari ,2,20000,18000,10
253,A Fascinating Vacation In Auli,5,4,Auli,"Auli ,Mussoorie ",2,Sightseeing Nature Skiing Hill station Ropeway  Ride ,3,27707,24936,10
254,Splendid Sikkim Gangtok Lachen Lachung Package,6,5,Gangtok,"Gangtok ,Lachen ,Lachung ",3,Adventure Nature Hill station Himalayas Road  Trip ,3,57847,53397,8
255,    ortheast Holiday Package,4,3,Shillong,"Shillong ,Mawlynnong ",2,Homestay Wildlife Waterfalls Nature Picturesque landscape Hill station ,2,17222,15500,10
256,Spectacular Cochin Tour Package,2,1,Cochin,Cochin ,1,Sightseeing Unlimited  Fun City  Tourmuseums Wildlife ,3,4515,3973,12
257,Marvellous Goa Tour Package,5,4,Calangute,Calangute ,1,Historical  Sites Wildlife Flea  Markets Historical ,3,34500,25875,25
258,Affordable     Mount Abu Family Tour Package,3,2,Mount Abu,Mount Abu ,1,Nakki  Lake Dilwara  Jain  Temple Brahma  ,3,8791,8000,9
259,Kerala Honeymoon,8,7,Kochi,"Kochi ,Munnar ,Thekkady ,Alleppey ,Kovalam ",5,Beach Hill station Nature Adventure Ayurvedic  Spa ,3,61841,57506,7
260,elightful Udaipur Tour Package,5,4,Udaipur,Udaipur ,1,Sightseeing Nature City  Palace Lakes Lake  ,3,14285,12999,9
261,Phenomenal Travel Package,2,1,Mysore,Mysore ,1,  Arrival Adventure Sightseeing Historical Shopping ,2,8043,7319,9
262,Jumbo Goa Family Holiday Package,7,6,Candolim,Candolim ,1,Basilica of  Bom  Jesus Nature Fort  Aguada ,4,40588,36529,10
263,elightful Uttarakhand Family Tour Package,11,10,Mussoorie,"Mussoorie ,Dhanaulti ,Jim Corbett ,Kausani ,Ranikhet ,Nainital ",6,Himalayas Ancient temples Scenic  Drive Picturesque valleys Wildlife ,3,46534,40950,12
264,Exotic Sikkim Tour Package,8,7,Gangtok,"Gangtok ,Lachen ,Lachung ,Pelling ,Darjeeling ",5,Nature Hill station Waterfalls Adventure Friends Religious ,3,15964,14966,6
265,Best Selling Goa Monsoon Tour Package,4,3,Candolim,Candolim ,1,Monsoon  Special Historical Adventure Pocket-friendly Nature ,3,19543,16099,18
266,Amazing Kashmir Tour Package,5,4,Srinagar,"Srinagar ,Pahalgam ",2,Shikara  Ride Nature Water  Sports Best sellers ,2,14287,13000,9
267,Top Selling Budgeted Kasol Tour Package,6,5,Kasol,"Kasol ,Kheerganga ,Tosh ",3,Camping Kheerganga top Trekking Adventurelandscape V A ,3,25000,22000,12
268,Best-Selling     Gujarat Package,5,4,Jamnagar,"Jamnagar ,Dwarka ,Veraval ,Diu ",4,Bala  Hanuman  Temple Nageshwar  Jyotirling Dwarkadhish  ,3,19764,17590,11
269,Splendid Goa Island Tour With udhsagar Falls,6,5,Calangute,Calangute ,1,Beach Hot  Pick Beach  Vacation Waterfalls ,3,35359,28750,19
270,Mesmerizing Mysore Trip Package,2,1,Mysore,Mysore ,1,Mysore  Palace Historical Chamundi  Hillstemples Brindavan  ,3,11395,10369,9
271,Best     Exhilarating haramshala Tour Package,4,3,Dharamshala,Dharamshala ,1,Beautiful scenery Nature Religious sites Hill station Palampur  Tea  ,3,16484,15000,9
272,Exemplary Uttarakhand Family Tour Package,7,6,Mussoorie,"Mussoorie ,Haridwar ,Jim Corbett ,Nainital ",4,Adventure Religious Nature Water  Activities Wildlife ,2,28327,26499,6
273,Choose From Our arjeeling Gangtok Tour Package,10,9,Gangtok,"Gangtok ,Lachen ,Lachung ,Pelling ,Darjeeling ",5,Adventure Nature Hill station Himalayas Sightseeing Hills ,2,48068,42300,12
274,    Gujarat Family Tour Package,7,6,Ahmedabad,"Ahmedabad ,Dwarka ,Veraval ,Diu ,Sasan Gir ",5,Dwarka  Temples Water  Activities Gir  National  ,3,23076,20999,9
275,Soulful warka Gujarat Tour Package,3,2,Dwarka,Dwarka ,1,Religious  Tour Historical Dwarkadhish  Temple Religious ,3,10434,9599,8
276,Popular Kutch Tour Package,3,2,Bhuj,Bhuj ,1,Rann of  Kutch Adventure White salt desertmuseums Religious Budget,3,23736,21600,9
277,Perfect Mussoorie Tour Package,4,3,Mussoorie,"Mussoorie ,Dhanaulti ",2,Dhanaulti Nature Kempty  Falls Hill station Sightseeing ,3,16666,14999,10
278,Admire The Beautiful Places In ortheast India,7,6,Guwahati,"Guwahati ,Kaziranga ,Shillong ",3,  Mawlynnong  Village Water  Activities Dawki ,3,40659,37000,9
279,Explore Our Amazing     Gujarat Tour Package,4,3,Dwarka,"Dwarka ,Veraval ,Somnath ",3,Spiritual journey Historical Religious sites Nature Temple tours Religious ,3,13478,12400,8
280,Best Selling   And   Arunachal Pradesh Tour,7,6,Bhalukpong,"Bhalukpong ,Dirang ,Tawang ,Bomdila ",4,Ice skating Hill station Bomdila viewpoint Sightseeing Budget,2,39560,36000,9
281,Best  ight   Mysore Tour Package,3,2,Mysore,Mysore ,1,Hill station Mysore  Palace Religious Shopping Sightseeing ,3,11522,10370,10
282,Charismatic Kerala Family Holiday Package,8,7,Kochi,"Kochi ,Munnar ,Thekkady ,Alleppey ,Kovalam ",5,Houseboat  Stay Jungle  Safari Beach  Vacation ,3,27156,25798,5
283,Memorable Mahabaleshwar Family Package,4,3,Mahabaleshwar,Mahabaleshwar ,1,Local sightseeing Adventure Forts Nature Shopping Family ,3,13296,12099,9
284,Riveting Rajasthan Sightseeing Tour Package,7,6,Jaipur,"Jaipur ,Bikaner ,Jaisalmer ,Jodhpur ",4,Scenic  Landscapes Nature Camel  Ride Adventure ,3,21097,19198,9
285,Kerala Honeymoon,3,2,Munnar,Munnar ,1,Beach Adventure Lake Nature Waterfalls Romantic ,3,9031,8399,7
286,Thrilling Jim Corbett ational Park Honeymoon,3,2,Jim Corbett,Jim Corbett ,1,Sightseeing Nature Adventure Wildlife Wildlife safari Romantic,4,13846,12600,9
287,Splendid Goa Tour Package,4,3,Goa,Goa ,1,Calangute  Beach Adventure Aguada  Fort Water  ,3,9890,9000,9
288,Splendid Ladakh Honeymoon,7,6,Leh,"Leh ,Pangong ,Nubra Valley ",3,Adventure Nature Nubra  Valley Hill station Gurudwara  ,2,30681,26999,12
289,Infinitely Romantic Jammu And Kashmir Honeymoon,3,2,Srinagar,"Srinagar ,Gulmarg ",2,Hill station Sightseeing Best sellers Cable  Car  Ride ,3,21429,19500,9
290,Best Selling Holidays To Sikkim With Your Loved Ones,4,3,Gangtok,Gangtok ,1,Lake Adventure Monasteries Hill station Temple Nature,4,29055,26731,8
291,South India Honeymoon,3,2,Munnar,"Munnar ,Alleppey ",2,Adventure Nature Religious Budget,3,17503,16103,8
292,Fanciful Kodaikanal Honeymoon,3,2,Kodaikanal,Kodaikanal ,1,Arrival Hill station Shopping Best sellers Sightseeing Adventure ,5,23461,21350,9
293,Alluring Goa Honeymoon,6,5,Goa,Goa ,1,Baga  Beach Adventure Candolim  Beach Nature ,4,19120,17399,9
294,Goa Beachside Honeymoon,5,4,Goa,Goa ,1,Adventure  Activities Nature Beaches Adventure Romantic  ,4,24175,21999,9
295,Gangtok Tour Package,3,2,Gangtok,Gangtok ,1,Scenic views Adventure Temple Nature City  Tour ,5,79666,74089,7
296,Mesmerizing Meghalaya Tour Package,4,3,Shillong,Shillong ,1,Sightseeing Hill station Ideal  For  Family Road  ,2,16476,14499,12
297,Auli Honeymoon,3,2,Auli,Auli ,1,Mountains  Adventure Dam Nature Ropeway  Ride ,3,14784,13749,7
298,arjeeling Tour Package,4,3,Darjeeling,Darjeeling ,1,Tiger  Hill Nature Mirik Adventure Mountains  ,4,25562,24028,6
299,A Lovely Honeymoon,4,3,Munnar,"Munnar ,Cochin ",2,Sightseeing Hill station Adventure  Activities Water  Activities ,3,14765,13436,9
300,The Perfect Romantic Goa Honeymoon,4,3,Goa,Goa ,1,Adventure  Activities Water  Activities Beaches Cruises ,3,15384,13999,9
301,Exhilarating Rajasthan Honeymoon,6,5,Jaipur,"Jaipur ,Pushkar ,Ranthambore ",3,Cultural  Extravaganza Nature Sightseeing Wildlife Adventure ,3,17977,16000,11
302,Striking Thekkady Kochi Munnar Honeymoon,4,3,Munnar,"Munnar ,Thekkady ,Cochin ",3,Ideal for couples Natural  Beauty Jungle  Safari Marine  ,3,16435,15120,8
303,Magical Himachal Trip Package,9,8,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ,Khajjiar ",5,Hill station Adventure Nature Water  Activities Sightseeing ,4,39011,35500,9
304,Gorgeous Gangtok Tour Package,3,2,Gangtok,Gangtok ,1,Sightseeing Adventure Himalayas Nature Hill station Ideal for friendsshopping ,2,24493,22044,10
305,South Goa Honeymoon,3,2,Goa,Goa ,1,Ideal for couples Nature Romantic Beachcuisine  Budget,3,11763,9999,15
306,Romantic  Mount Abu Tour Package,4,3,Udaipur,"Udaipur ,Mount Abu ",2,Sightseeing Water  Activities Nature Hill station Hill  ,3,9332,8399,10
307,Srinagar Gulmarg Pahalgam Tour Package,4,3,Srinagar,Srinagar ,1,Pari  Mahal Nature Cable  Car  Ride ,3,15426,14500,6
308,Exotic Kashmir Honeymoon,4,3,Srinagar,"Srinagar ,Pahalgam ",2,Night at  Houseboat Best sellers Gondola  Ride Nature ,2,15463,11984,22
309,Goa Tour Package,3,2,Goa,Goa ,1,Sightseeing Nature Beaches Adventure Water  Activitiesskiing ,3,9782,8999,8
310,An Enjoyable Kochi Family Package,4,3,Cochin,"Cochin ,Munnar ",2,Mattancherry  Palace Historical St.  Francis  Church ,3,17142,15599,9
311,Charming Mussoorie Honeymoon,3,2,Mussoorie,Mussoorie ,1,Sightseeing Nature Hills Adventure Hill station Budget,3,15866,14438,9
312,Captivating Kerala Honeymoon,4,3,Munnar,"Munnar ,Alleppey ",2,Backwaters Adventure Jungle  Safari Nature Waterfalls ,3,17142,15599,9
313,Wonderful Summer Special Family Tour To Verdant Coorg,3,2,Coorg,Coorg ,1,Shopping Adventure  Arrival Nature Sightseeing Hill station ,5,26142,23789,9
314,Astounding Tour Package,3,2,Kasol,"Kasol ,Malana  ",2,Manikaran Hill station Trekking Nature Road  Trip ,3,12637,11500,9
315,Spectacular Udaipur Honeymoon,3,2,Udaipur,Udaipur ,1,Romantic Historicallandscape Lakes Ideal for couples Lakes in  Udaipur ,3,8241,7499,9
316,Shimla: The Gem In Himachalâs Crown,3,2,Shimla,Shimla ,1,Picturesque sights Nature Hill station Religious Adventureskiing Budget,3,5435,5000,8
317,Fun-Filled Gangtok & arjeeling Family Tour ,6,5,Darjeeling,"Darjeeling ,Gangtok ",2,Hot  Pick Adventure Mountains  Historical Hill station ,3,66084,57073,14
318,Splendid Mount Abu Summer Festival Package,3,2,Mount Abu,Mount Abu ,1,Summer  Festival Adventure Sham-e- Qawwali Hill station ,4,17582,16000,9
319,Romantic Rajasthan Honeymoon,9,8,Jaipur,"Jaipur ,Bikaner ,Jaisalmer ,Jodhpur ,Udaipur ",5,Camping Historical Sightseeing City  Tour Nature ,4,33954,30898,9
320,Kodaikanal  ight   Tour Package,2,1,Kodaikanal,Kodaikanal ,1,Hill  Station Nature   Trekking  Adventure Lakes ,3,10101,9394,7
321,Fascinating Goa Honeymoon,4,3,Goa,Goa ,1,Beaches Water  Activities Churches Best sellers Boat  ,4,15934,14500,9
322,Goa Honeymoon,3,2,Goa,Goa ,1,Watersports Adventure Fort  Aguada Water  Activities ,3,9139,8499,7
323,Best / Sikkim Tour Package,3,2,Darjeeling,Darjeeling ,1,Tea  Garden Adventure Tiger  Hill Hill station ,2,29054,27020,7
324,Splendid Coorg Honeymoon,3,2,Coorg,Coorg ,1,Sightseeing Adventure City  Tour Nature Historical  ,3,21011,18910,10
325,Ooty Honeymoon,2,1,Ooty,Ooty ,1,Lake Hill station National  Park Nature Museum ,3,11544,10736,7
326,Heavenly arjeeling Sightseeing Tour Package,4,3,Darjeeling,Darjeeling ,1,Hill  Station Adventure Nature F O ,2,24710,22486,9
327,Sensational Himachal Tour Package,9,8,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ",4,Kufri Water  Activities Solang  Valley Adventure ,4,42308,38500,9
328,Adventurous Leh-Ladakh Tour Package,8,7,Leh,"Leh ,Pangong ,Nubra Valley ,Kargil ,Srinagar ",5,Nature Road  Trip Adventure Himalayas Camping ,3,45454,44999,1
329,A Royal Udaipur Family Tour Package,3,2,Udaipur,Udaipur ,1,Sahelion ki  Bari Nature Jagdish  Temple Historical ,3,7608,6999,8
330,Rajasthan Tourism Package,4,3,Udaipur,Udaipur ,1,Sightseeing Adventure Historical  Tour Historical Lake  ,3,5494,5000,9
331,Astonishing Himachal Tour Package,9,8,Shimla,"Shimla ,Manali ,Dharamshala ,Dalhousie ",4,Solang  Valley Adventure Dalhousie  Nature Hill station ,3,36484,33200,9
332,Holy Char ham Package,4,3,Haridwar,"Haridwar ,Badrinath ",2,Temples Adventure Religious  Tour Nature Family ,2,9230,8399,9
333,Best Selling Mussoorie Getaways For A Refreshing Break,2,1,Mussoorie,Mussoorie ,1,Lal  Tibba Adventure Kempty  Falls Hill station ,3,6209,5774,7
334,A Short And Sweet Puri Tour Package,3,2,Puri,Puri ,1,Sightseeing Nature Road  Trip Adventure Historical  ,3,10483,9540,9
335,Spectacular ortheast Honeymoon,6,5,Shillong,"Shillong ,Cherrapunjee ,Guwahati ",3,Umiam  Lake Hill station Double-decker  Root  Bridge ,2,20329,18499,9
336,Scintillating Shillong Sightseeing Tour Package,3,2,Shillong,Shillong ,1,Caves Adventure Shillong Nature Kamakhya  Devi  ,3,9890,9000,9
337,Sublime Gangtok Package,4,3,Gangtok,Gangtok ,1,Baba  Harbhajan  Mandir Religious Tsomgo  Lake ,2,31821,28002,12
338,Religious Char ham Tour Package,7,6,Haridwar,"Haridwar ,Barkot ,Uttarkashi ",3,Gangotri Hill station Yamunotri  Temple Adventure Nature ,2,10384,9449,9
